Key,Steps,Peak,Cardio,FatBurn,Mode,Minutes,Gender,Age,GPA,Life Score
428,10715,2.06,6.39,129.51,0,13.58,1,19,4,78
429,9920,0.62,3.43,257.99,1,9.42,0,35,3.35,73
430,12292,1.76,17.19,218.37,1,9.4,0,18,3.3,86
431,9734,0.77,3.51,116.92,1,7.33,0,23,3.23,65
432,9247,2.95,17.79,351.92,1,7.87,1,18,4,67
433,12504,1.07,9.75,190.98,1,10.57,1,19,3.27,90
434,14593,0.45,5.17,120.02,1,6.82,0,18,3.82,46
435,7452,0.68,4.31,77.15,0,12.68,1,19,2.5,61
436,9723,1.71,11.98,225.04,1,12.33,1,19,1.13,59
437,10345,3.31,13.99,117.52,1,11.5,1,18,4,64
438,10156,1.92,7.24,96.52,1,10.9,1,18,3.67,87
439,9883,1.6,4.75,67.13,1,7.37,1,24,3.21,64
440,8968,0.14,1.66,130.14,1,10.48,1,18,3.78,65
441,6226,0.05,0.45,52.55,0,17.42,1,18,0.9,61
442,11275,3.59,10.92,279.07,1,11.67,0,19,2.4,96
443,6844,0,0,21.86,1,6.07,0,19,3.07,51
444,8868,0.19,4.66,117.55,1,11.7,1,17,3.76,112
445,13460,2.37,3.9,100.09,1,7.5,1,19,3.57,69
446,0,0,0,0,1,13.38,1,19,1.92,73
447,9117,14.16,15.25,77.9,1,11.9,0,19,2.5,93
448,16,0,0,0.01,1,5.83,0,21,3.07,58
449,13457,0.98,4.58,172.65,1,6.63,0,19,3.23,79
450,14650,0.19,1.23,103.3,1,7.03,0,18,3.23,64
451,2944,0.41,0.55,24.41,1,15.33,1,18,1.2,88
452,10026,0.1,2.93,90.1,1,7.6,0,18,3.53,105
453,13426,4.45,31.09,42.92,1,5.58,1,20,4,46
454,9033,2.87,16.21,208.41,1,13,1,18,2.84,112
455,9447,0.25,2.79,63.03,1,7.85,1,18,1.42,64
456,10442,2.67,8.85,111.93,1,14.13,1,18,3,95
457,9811,0.67,4.6,154.06,1,13.88,1,19,4,88
458,14779,3.03,6.57,238.74,1,6.32,0,19,3.81,52
459,13693,0.06,1.34,128.35,1,7.22,0,18,4,76
460,6285,0.04,1.25,91.6,1,15.72,1,17,1.85,93
461,14438,1.83,12.98,257.97,1,11.95,0,19,3.63,108
462,6668,1.92,3.93,105.91,1,14.5,1,18,3.69,71
463,8156,2.25,8.44,100.65,1,14.07,1,18,2.37,71
464,15814,0.42,6.75,174.01,1,6.58,1,20,2.71,61
465,13029,0.97,9.89,78.86,0,17.88,1,19,3.57,54
466,8149,0.42,3.26,177.2,1,11.25,1,18,2.84,63
467,8025,2.59,12.98,67.83,1,7.58,0,19,2.92,68
468,4641,0.57,5.52,119.14,0,16.67,1,19,2.11,61
469,12294,0.1,3.43,102.59,1,7.2,0,19,3.43,64
470,9397,4.18,14.95,327.47,1,8.3,1,18,4,47
471,10451,1.62,11.38,95.4,1,8.33,1,18,4,52
472,5342,5.92,76.31,171.58,1,13.58,1,18,1,87
473,12156,1.08,4.62,96.15,1,10.28,0,18,2.62,44
474,8258,2.05,6.46,116.71,1,11.55,1,18,3,118
475,8134,0.02,0.74,20.23,1,6.8,0,18,3.23,80
476,10863,2.34,22.14,298.34,1,8.92,1,18,3.6,53
477,14728,1.54,7.1,185.95,1,9.9,0,18,3.55,63
478,7654,1.06,7.58,55.1,1,13.22,1,18,3.57,60
479,2876,0,0,16.5,1,8.8,0,19,1.15,96
480,2772,0.22,0.29,69.33,1,11.43,0,19,2.25,71
481,10277,0.75,5.54,107.9,0,16.08,1,19,3.35,86
482,11449,2.23,8.05,96.38,1,8.12,1,18,3.6,71
483,10583,4.58,54.92,296.74,1,8.82,0,19,3.25,100
484,8408,0.78,3.1,76.25,1,7.85,1,18,2,72
485,10418,0.36,3.11,89,1,11.48,1,18,2.93,53
486,11939,0.76,12.2,144.23,1,9.93,1,18,3.96,83
487,4668,0.14,0.7,49.76,1,6.87,0,18,2.54,78
488,11337,0.66,8.15,109.81,1,7.9,1,18,3,36
489,6876,0.57,2.25,86.34,1,11.02,0,18,0.8,100
490,7086,0.16,1.04,60.8,1,10.5,1,18,3.46,83
491,9236,1.1,2.64,96.09,1,8.72,1,19,4,49
492,4937,0.09,3.02,236.16,0,18.13,1,21,3.34,80
493,8844,1.3,5,70.19,1,6.85,0,18,3.07,56
494,10396,0.37,4.78,353.47,1,10.82,1,19,3.3,62
495,10472,2.69,7.2,163.71,1,12.4,1,18,4,82
496,12755,2.8,16.74,177.59,1,8.7,0,19,3.61,90
497,14406,1.68,12.16,338.26,1,7.35,0,18,3.41,71
498,11813,1.16,6.4,179.09,1,10.52,1,18,3.64,79
499,15965,1.24,4.57,115.33,1,6.22,0,19,4,79
500,14644,0.75,30.91,76.32,1,8.33,0,18,3.45,63
501,9394,0.62,3.3,100.2,1,7.25,1,18,3.82,53
502,8391,0.55,1.41,132.64,0,12.67,1,18,3.76,81
503,7852,2.2,4.65,86.83,1,7.1,1,18,0.62,35
504,11592,4.57,4.78,136.38,1,10.18,1,19,4,60
505,8826,2.43,38.89,729.38,1,11.1,1,18,3.42,92
506,7245,0.15,1.55,161.56,1,12.77,1,19,2,93
507,15523,0.91,4.46,69.01,1,5.75,0,18,2.71,71
508,7587,0.67,5.12,99.36,1,13,1,18,3.82,70
509,9416,0.99,5.42,175.89,1,13.75,1,19,3.33,74
510,7352,0.25,1.06,168.76,1,8.9,0,18,3,92
511,7373,0.6,1.37,65.4,1,6.57,0,19,3.52,80
512,7275,1.87,5.6,71.65,1,6.55,0,19,3.69,44
513,9057,0.08,0.54,120.43,1,7.37,0,18,3.4,93
514,9579,0.23,1.93,239.35,1,12.82,1,19,2.69,81
515,9288,4.68,8.24,98.47,1,9.52,1,18,3.82,72
516,9120,1.98,12.42,293.43,1,9.33,1,19,3.8,53
517,18673,1.7,3.81,75.61,1,7.78,1,18,2.87,67
518,9645,0.61,4.44,182.21,0,12.95,1,19,2.41,99
519,8785,4.49,32.35,278.24,1,16.38,1,19,3.37,84
520,11435,3.2,12.2,174.1,1,7.12,0,18,1.92,74
521,9891,0.17,3.28,154.79,1,13.2,1,18,2.21,73
522,12497,0.29,1.59,65.51,1,9,0,19,3.62,69
523,9681,0.18,1.75,106.4,1,9.97,1,18,3.62,76
524,5479,0.53,2.27,113.42,1,11.13,1,19,3,42
525,12381,2.73,8.95,127.65,1,7.53,1,18,4,65
526,11490,0.16,7.75,61.42,0,15.33,1,18,4,54
527,11207,2.32,8.21,289.8,1,8.75,1,18,4,65
528,12955,0.23,1.16,111.51,1,13.4,1,18,2.76,66
529,12841,0.2,1.75,353.22,0,15.13,1,18,1.94,94
530,3595,0.11,3.62,135.4,1,15.2,1,20,3.92,83
531,11801,0.55,1.72,65.78,1,6.23,0,19,3.5,76
532,7594,0.11,2.22,142.09,1,10.28,1,18,0.07,55
533,7692,0.13,0.99,250.37,0,16.33,1,18,2.57,83
534,7414,0.78,1.78,107.15,1,8,0,18,3.38,66
535,9497,2.06,13.59,135.11,1,10.77,1,19,3.81,52
536,12344,1.02,10.99,270.89,1,11.37,1,19,3.41,69
537,6848,1.9,4.8,102.2,1,11.1,1,19,3.07,86
538,9763,2.03,5.53,160.89,1,12.15,1,19,3.29,84
539,11572,0.05,2.6,212.13,1,10.67,1,19,3.75,35
540,9975,0.24,8.92,475.39,0,16.37,1,19,3.3,77
541,6066,1.82,1.54,74.88,0,21.07,0,20,1.85,84
542,13193,2.16,4.92,95.36,1,8.27,1,18,3.82,79
543,12979,2.76,16.5,229.91,1,12.7,1,18,3.35,120
544,6619,0.44,3.9,117.01,1,15,1,18,2.5,49
545,10316,0.87,4.99,68.98,1,11.08,1,19,4,62
546,11481,3.07,8.63,217.74,1,8.08,0,19,3.38,80
547,10606,0.59,2.3,77.94,1,7.37,0,18,3.29,63
548,16236,0.47,1.58,81.34,1,6.8,0,20,3.42,52
549,8732,0.81,2.53,145.17,1,7.73,0,18,2.29,107
550,12842,2.43,18.88,291.73,0,13.18,1,20,3.87,60
551,11000,0.13,2.65,102.57,1,6.97,0,19,3.81,70
552,8846,0.46,2.65,116.59,1,9.28,1,19,3.18,76
553,12692,0.47,1.83,75.53,1,9.05,0,20,2,68
554,5479,0.13,1.53,201.93,1,7.43,1,19,0,112
555,9349,0.02,1.39,72.44,1,13.08,1,18,3.2,76
556,7781,3.22,11.31,204.96,1,6.33,0,20,3.07,94
557,15035,2.44,10.21,168.78,1,7.98,1,19,3.47,71
558,10009,0.11,2.35,102.52,1,7.28,0,18,3,84
559,7164,0.8,4.56,127.05,1,10.75,1,18,2.78,43
560,11551,0.24,1.68,187.26,1,9.13,1,19,4,71
561,9203,0.89,3.13,213.82,0,12.67,1,18,3.3,87
562,4045,0.46,2.08,197.26,0,18.78,1,18,3.76,107
563,11610,0.93,5.88,303.67,1,9.23,1,18,3.93,63
564,10776,0.21,1.57,199.1,1,19.1,1,18,2.37,98
565,11044,6.31,45.87,209.49,1,8.52,0,19,4,88
566,4819,0.15,2.25,89.94,1,10.98,0,18,2.5,106
567,7682,0.63,3.13,46.58,1,7.08,0,19,2.7,69
568,10776,1.53,8.14,125.4,1,8.4,1,17,3.65,93
569,9837,1.24,8.07,57.89,1,8.15,1,19,3.78,37
570,12022,0.97,4.58,185.97,1,13.48,0,18,2.07,100
571,10525,0.1,3.34,253.13,0,13,0,18,3.41,89
572,11887,1.09,5.49,248.26,1,10.02,1,18,4,61
573,6801,1.72,6.4,68.19,1,8.38,1,18,2.38,47
574,11005,0.14,2.75,127.58,1,7.08,0,19,3,62
575,13781,0.76,3.1,210.66,1,8.18,0,17,3.81,62
576,13004,0.88,8.63,263.19,1,10.9,1,19,4,76
577,10445,2.55,11.02,194.46,1,8.53,1,18,3.73,57
578,13537,0.1,1.54,87.39,1,6.55,0,18,3.93,53
579,7653,0.38,2.64,68.24,1,7.63,0,18,2.92,70
580,13828,3.17,8,189.69,1,8.25,1,18,3.94,73
581,7711,2.29,2.49,50.41,1,7.5,0,19,3.52,79
