Key,Steps,Peak,Cardio,FatBurn,Mode,Minutes,Gender,Age,GPA,Life Score
98,11081,0.05,0.93,77.31,1,7.4,0,16,3.75,100
99,8383,2.52,11.99,79.33,1,9.22,1,18,4,56
100,7289,1.21,4.4,103.18,1,7.75,0,19,3.62,79
101,11746,2.25,7.37,227.9,1,9.03,1,18,3.7,72
102,16804,0.09,1.01,25.96,1,5.72,0,19,3.78,64
103,8964,0.42,4.69,104.09,1,8,0,19,3.41,63
104,8801,0.37,3.79,70.48,0,17.05,0,18,3.36,57
105,14325,0.09,1.35,133.32,0,12.33,1,18,3.25,57
106,11110,0.5,5.21,110.89,1,7.83,1,19,3.07,72
107,9191,4.44,20.6,109.34,1,9.65,1,19,3.82,80
108,6099,0.13,1.9,201.27,1,10.65,0,19,2.67,95
109,10351,0.44,2.85,137.35,1,8.8,1,18,2.9,70
110,10185,0.03,0.82,266.36,0,15.83,1,18,3.25,64
111,10927,6.56,26.24,212.52,1,10.75,1,19,3.46,47
112,6310,56.63,59.59,136.91,0,17,0,18,2.84,43
113,8067,0.78,2.78,33.13,1,9.92,1,18,3.76,77
114,9027,0.16,3.13,203.87,0,14.67,0,18,2.15,56
115,10711,19.17,16.63,165.03,1,7.27,0,19,2.64,72
116,3141,0.18,2.07,50.03,0,13.12,1,19,3.23,78
117,13051,2.14,11,439.92,1,13.5,1,18,3.5,80
118,6757,0.47,2.25,115.79,1,10.92,0,19,0.66,83
119,14417,1.3,5.91,75.58,1,6.68,0,18,3.57,94
120,8875,0.01,1.44,167.14,1,13.82,1,18,2.28,109
121,13343,0.26,4.97,135.99,1,8.22,0,19,3.35,64
122,8461,0.62,1.74,69.24,0,16.17,0,18,3.62,44
123,9786,0.23,1.42,86.7,1,7.48,0,19,3.92,52
124,14362,2.05,13.07,328.7,1,11.48,1,18,2.53,49
125,9654,5.47,42.84,415.19,1,9.58,1,19,3.62,84
126,9507,0.13,0.92,47.28,0,21.05,0,19,3.76,69
127,11211,0.31,2.22,178.55,0,14.63,0,17,3.11,83
128,4242,0.23,1.67,93.7,1,10.53,1,23,2.09,65
129,12513,267.1,6.4,48.75,1,6.22,0,19,2.46,55
130,6691,0.43,3.16,159.92,1,15.72,1,18,3,68
131,10059,0.48,5.35,109.05,0,16.17,1,18,3.43,59
132,8160,1,2.98,102.86,1,7.98,0,18,2.41,43
133,11734,1.17,4.19,100.56,1,6.95,0,18,2.76,50
134,10959,1.19,7.8,122.83,1,9.37,1,18,3.64,63
135,13689,3.14,12.31,113.7,1,13.15,1,18,3.82,93
136,10012,0.69,7.91,60.94,1,8.13,0,19,3.57,79
137,12145,0.92,6.03,112.81,1,10.18,0,18,2.6,75
138,7685,17.08,52.07,151.07,0,15.08,0,18,3.11,54
139,1198,0.24,1.95,20.09,0,14.67,0,20,1.92,49
140,8275,1.64,4.54,76.14,1,10.32,1,19,3.81,49
141,7354,0.5,6.1,236.8,1,11.42,1,20,2.78,56
142,7410,0.78,5.74,146.48,1,5.8,0,19,3.3,57
143,9765,4.08,31.54,188.24,1,6.57,0,19,2.38,82
144,9502,69.74,119.92,182.01,1,7.17,0,19,3.5,73
145,12507,0.21,1.58,40.4,0,18.25,1,19,2.76,44
146,11442,0.88,26.65,231.44,1,8,1,18,3.8,65
147,12188,0.16,1.02,60.75,1,7.83,0,18,2.07,63
148,8693,1.66,3.4,82.43,1,6.98,0,18,2.43,94
149,8351,0.21,2.28,62.71,0,12.1,0,19,3.35,82
150,7683,0,0.48,102.83,1,9.88,0,18,1.25,104
151,11013,1.93,7.61,96.43,1,5.78,0,20,3.62,65
152,8422,3.85,7.92,181.19,0,13.13,1,24,2.38,68
153,14676,1.47,9.12,104.29,1,11.52,1,19,3.53,95
154,7573,0.73,2.68,191,1,9.33,0,18,3.23,110
155,10323,4.4,158.98,729.67,0,15.33,1,19,3.29,64
156,9181,0,0.64,73,1,13.53,1,20,3.76,72
157,7795,0.68,3.54,153.44,1,10.82,1,18,3.8,80
158,12493,0.69,6.22,178.6,1,6.05,0,19,4,43
159,10113,0.65,4.3,125.09,1,9.88,0,24,4,124
160,12082,6.61,45.22,318.36,1,8.1,0,19,2.38,50
161,8072,0.45,2.58,133.15,0,11.77,1,18,3.18,61
162,13167,1.13,4.25,69.35,1,5.48,0,18,3.35,57
163,11240,3.15,2.79,131.31,1,8.77,1,18,3.5,40
164,9722,0.35,1.98,124.14,1,7.6,0,18,3.15,50
165,15470,0.86,3.25,224.53,1,8.3,1,18,4,91
166,9534,0.33,2.28,136.39,1,9.67,1,18,3.53,66
167,10776,0.56,4.39,122.9,1,8.68,1,20,3.23,56
168,9369,0.01,1.02,69.84,1,12.22,0,19,1.07,66
169,7458,0.88,3.5,80,1,5.38,0,18,2,79
170,10956,0.75,3.65,383.06,0,12.28,1,18,3.18,67
171,10600,0.07,2.18,112.04,0,17.13,1,19,4,118
172,11898,0.75,4.13,107.78,1,7.47,0,18,3.14,51
173,14048,0.19,1.1,188.35,1,7.57,0,17,3.78,46
174,8758,2.04,7.83,251.47,0,15.45,1,18,2.28,68
175,12961,1.16,6.65,430.92,1,9.67,1,18,3.78,69
176,10455,1.03,2.38,170.44,1,7.3,0,18,3.58,52
177,8651,2.23,5.31,82.04,1,8.35,0,18,2.3,37
178,9526,2.02,3.91,196.24,0,14.87,1,18,4,55
179,6074,0.84,9.67,225.08,1,16.8,1,18,2.23,84
180,13250,4.92,9.24,135.58,1,9.55,1,18,4,67
181,5324,0.28,2.62,126.51,0,16.83,1,18,0.62,53
182,2499,0.56,2.29,25.58,1,14.77,1,19,1.42,62
183,9366,0.28,2.39,69.58,1,6.85,0,18,3.78,65
184,5158,0.17,4.53,225.93,0,15.93,1,18,3.25,88
185,12502,0.21,6.16,66.04,1,7.85,1,19,3.41,83
186,9331,1.06,5.99,88.46,1,7.25,1,18,3.14,35
187,12893,0.39,2.42,42.79,1,6.15,0,18,4,120
188,7994,0.59,4.25,88.44,1,11.4,0,18,1.6,40
189,7742,4.12,27.3,136.85,1,9.1,1,18,3,100
190,10582,15.37,107.53,487.75,1,14.95,1,18,3.64,56
191,9390,3.4,41.08,180.29,1,9.05,0,18,3.3,68
192,3940,0.34,2.6,80.39,1,13.85,1,18,3.28,65
193,11867,0.33,1.62,41.39,1,6.98,0,19,3.53,62
194,11501,2.21,13.61,251.5,1,6.63,0,19,3.62,55
195,15847,0.54,6.45,188.53,1,7.87,0,20,4,82
196,8894,0.06,2.01,123.34,1,10.47,0,18,3.53,59
197,10731,0.38,3.12,160.73,1,7.5,0,19,3.37,70
198,13289,1.19,20.63,31.75,0,16.17,0,19,3.96,65
199,12638,1.04,5.41,212.63,1,14.28,0,18,3.03,66
200,18928,25.77,41.68,220.06,1,6.32,0,18,3.3,52
201,12431,1.57,4.3,64.52,1,7,0,18,3.46,102
202,5907,0.29,1.65,144.21,0,15.45,1,17,3.5,67
203,9297,6.78,8.67,267.96,1,13.27,1,18,3.57,76
204,13525,1.12,5.75,218.08,1,13.22,1,18,4,89
205,12154,1.06,5.13,149.3,1,10.25,1,19,2.87,58
206,11784,2.08,5.96,86.12,1,7.75,1,19,3.81,47
207,9825,0.61,2.39,77.92,1,7.67,0,19,3.25,91
208,3070,0.05,1.47,36.38,1,9.95,1,19,2,61
209,3775,0.28,2.75,40.5,1,6.9,1,18,1.71,48
210,9456,1.43,4.86,155.03,1,9.92,1,18,3.82,81
211,11728,1.96,6.23,183.57,1,10.53,1,18,4,120
212,10189,0.41,2.69,207.41,1,9.65,1,18,4,77
213,11434,0.27,4.01,314.25,1,14,0,18,3.43,99
214,13322,0.05,2.34,36.18,1,7.5,0,19,3.28,67
215,9741,1.22,4.6,215.56,0,15.83,1,17,4,79
216,10012,0.91,3.6,154.41,1,7.93,0,18,3.06,75
217,10124,1.84,14.24,105.97,1,10.25,1,19,3.14,98
218,10670,0.68,4.17,67.55,1,6.5,1,18,3.78,55
219,10942,0.55,2.2,100.4,1,6.75,0,18,2.86,101
220,8213,0.45,2.98,92.38,0,15.93,1,19,3.28,86
221,8932,0.42,3.57,163.94,1,14.27,1,18,3.46,107
222,6292,0.59,1.83,67.86,1,7.63,0,19,2.37,99
223,13109,4.08,12.67,156.27,1,7.23,1,18,3.76,80
224,11874,1.57,9.19,219.12,0,14.98,1,18,3.38,72
225,10679,2.11,5.84,145.79,1,12.13,1,19,3.76,58
226,9870,4.47,31.79,364.1,1,6.25,0,18,3.78,80
227,7734,0.56,8.55,107.47,1,9.75,0,18,2.42,72
228,11141,1.65,30.38,334.58,0,12.67,1,18,2.07,96
229,13265,3.4,9.24,102.73,1,13.82,1,18,4,64
230,11238,37.92,14.33,169.78,1,10.53,0,19,3.7,83
231,9392,2.91,9.84,129.37,1,13,1,19,4,99
232,14433,0.09,1.77,108.54,1,7.5,0,19,4,56
233,5270,0.71,6.43,104.97,0,14.28,1,19,2.78,51
234,9689,4.63,180.65,418,0,14.67,1,18,2.76,94
235,8207,3.16,2.38,182.12,1,6.02,0,22,3.75,60
236,12318,23.46,27.83,150.54,1,7.62,0,18,3.35,48
237,12465,1.33,23.38,192.97,1,7.87,0,18,3.64,49
238,8703,2.42,12.31,175.83,1,9.12,0,19,3.29,37
239,12144,0.52,8.64,481.64,1,10.67,1,18,3.82,58
240,9545,0.38,2.28,69.74,1,6.92,0,18,3,65
241,10718,6.67,17.21,214.35,1,5.57,0,18,3.64,46
242,10733,1.52,11.25,86.47,1,9.92,1,18,3.25,57
243,7378,1.22,3.47,68.71,1,13.53,1,18,3.31,95
244,9510,2.37,13.9,198.79,1,10.7,1,19,3.3,100
245,15177,0.04,1.58,199.1,1,8.35,1,18,2.94,71
246,15435,6.19,11.47,118.37,1,8.48,1,19,3.81,55
247,10284,0.51,2.16,76.37,1,9.38,1,20,4,55
248,9200,1.04,34.96,452.32,0,15.37,1,18,1.69,65
249,8859,0.3,1.28,344.72,1,11.47,1,19,3.33,61
250,9382,0.53,2.21,74.42,1,9.28,1,19,3.05,54
251,7968,1.13,3.45,80.92,1,13.33,1,19,2.73,82
252,2409,0.15,0.46,24.9,0,13.22,1,18,1.76,103
253,10306,0.19,2.01,262.92,1,14.27,1,19,2.17,114
254,7891,0.29,2.39,71.65,1,8.33,0,18,3,58
255,12058,0.65,5.51,141.89,1,7.15,0,18,4,81
256,9850,1.41,3.64,129.64,1,9.78,1,18,4,76
257,7967,36.18,119,288.16,1,8.02,1,18,4,39
258,13189,4.43,11.47,181.76,1,8.73,1,18,4,81
259,9840,0.93,7.63,206.48,1,11.37,1,18,3.82,52
260,12812,0.36,3.96,144.45,1,11.88,1,18,3.87,93
261,13218,0.5,3.01,93.92,1,8.12,1,19,4,46
