name,genre,type,rating,members
Cross Game,"Comedy, Drama, Romance, School, Sports",TV,8.53,53108
Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",Movie,8.53,28864
Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,8.53,182224
Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,8.53,288376
Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,8.53,44223
Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,8.52,86074
Fate/Zero,"Action, Fantasy, Supernatural",TV,8.51,453630
JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,8.51,190197
Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,8.51,462974
Nichijou,"Comedy, School, Slice of Life",TV,8.52,254436
Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,8.50,509109
Barakamon,"Comedy, Slice of Life",TV,8.50,225927
Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,8.50,38531
Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,8.50,245026
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,8.50,135735
Major: World Series,"Comedy, Drama, Sports",OVA,8.50,13405
Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,8.50,390076
Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",TV,8.50,185015
Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,8.49,207241
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,8.49,85361
Major S6,"Comedy, Drama, Sports",TV,8.49,24788
Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,8.49,88850
Shirobako,"Comedy, Drama",TV,8.49,146895
Ashita no Joe 2,"Drama, Sports",TV,8.48,6259
Hunter x Hunter,"Action, Adventure, Shounen, Super Power",TV,8.48,166255
Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,8.48,299434
Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,8.48,146592
Tonari no Totoro,"Adventure, Comedy, Supernatural",Movie,8.48,271484
Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,8.47,194491
Kaze no Tani no Nausicaä,"Adventure, Fantasy",Movie,8.47,143273
No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,8.47,602291
Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life",TV,8.47,15074
Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,8.47,195017
Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",TV,8.46,102822
Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,8.46,338315
Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,8.46,157025
Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,8.46,210491
Shingeki no Kyojin: Kuinaki Sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,8.45,92543
Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,8.45,205987
Kemono no Souja Erin,"Drama, Fantasy",TV,8.45,36751
Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire",Movie,8.45,99579
Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,8.45,215630
Toradora!,"Comedy, Romance, School, Slice of Life",TV,8.45,633817
Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,8.44,289206
Tsubasa: Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,8.44,57963
Owarimonogatari,"Comedy, Mystery, Supernatural",TV,8.43,107855
Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,8.43,218928
Stranger: Mukou Hadan,"Action, Adventure, Historical, Samurai",Movie,8.43,125503
Detective Conan Movie 06: The Phantom of Baker Street,"Adventure, Mystery, Police, Shounen",Movie,8.42,28462
Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,8.42,267484
Major S1,"Comedy, Drama, Shounen, Sports",TV,8.42,41061
Mobile Suit Gundam: The Origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,8.42,15420
Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,8.42,331627
Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,8.42,210736
One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,8.42,85020
Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",TV,8.41,218101
Hunter x Hunter OVA,"Action, Adventure, Shounen, Super Power",OVA,8.41,53168
Hunter x Hunter: Greed Island Final,"Action, Adventure, Shounen, Super Power",OVA,8.41,55787
Kuroshitsuji: Book of Murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,8.41,67261
Major S2,"Comedy, Drama, Shounen, Sports",TV,8.41,30689
One Outs,"Psychological, Seinen, Sports",TV,8.41,83056
Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,8.40,148328
Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,8.40,226430
Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,8.40,137636
Major S3,"Drama, Shounen, Sports",TV,8.40,29528
Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,8.40,42076
Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,8.40,28302
NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,8.40,291228
Rose of Versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,8.40,32188
Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,8.40,380375
Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,8.39,717796
Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,8.39,482268
Bungou Stray Dogs 2nd Season,"Mystery, Seinen, Supernatural",TV,8.39,83641
Hajime no Ippo: Champion Road,"Comedy, Shounen, Sports",Special,8.39,47840
One Piece Film: Z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,8.39,76051
Ouran Koukou Host Club,"Comedy, Harem, Romance, School, Shoujo",TV,8.39,422271
Detective Conan Movie 13: The Raven Chaser,"Action, Mystery, Police, Shounen",Movie,8.38,21798
Durarara!!,"Action, Mystery, Supernatural",TV,8.38,556431
Nodame Cantabile Finale,"Comedy, Josei, Music, Romance",TV,8.38,67697
Planetes,"Drama, Romance, Sci-Fi, Seinen, Space",TV,8.38,105044
Shelter,"Music, Sci-Fi",Music,8.38,71136
Tenkuu no Shiro Laputa,"Adventure, Fantasy, Romance, Sci-Fi",Movie,8.38,151061
Gintama: Shiroyasha Koutan,"Action, Comedy, Historical, Parody, Sci-Fi",Special,8.37,27213
Hachimitsu to Clover II,"Drama, Josei, Romance",TV,8.37,61493
InuYasha: Kanketsu-hen,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,8.37,99128
Kaguya-hime no Monogatari,"Fantasy, Historical",Movie,8.37,45547
Katekyo Hitman Reborn!,"Action, Comedy, Shounen, Super Power",TV,8.37,258103
Kuroshitsuji: Book of Circus,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,8.37,122895
Ookami to Koushinryou,"Adventure, Fantasy, Historical, Romance",TV,8.37,334932
