name,genre,type,rating,members
D.Gray-man,"Action, Adventure, Comedy, Shounen",TV,8.20,334399
Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari,"Action, Military, Sci-Fi, Space",OVA,8.20,8621
Gintama: Jump Festa 2014 Special,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,8.20,13764
Lupin III: Cagliostro no Shiro,"Adventure, Comedy, Shounen",Movie,8.20,32732
Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,"Action, Drama, Mecha, Sci-Fi, Space",TV,8.20,21210
Ookiku Furikabutte: Natsu no Taikai-hen,"Comedy, Sports",TV,8.20,22190
Saiunkoku Monogatari 2nd Season,"Adventure, Comedy, Drama, Fantasy, Historical, Romance",TV,8.20,23160
Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,"Comedy, Drama, Romance, Shounen Ai",Movie,8.20,23045
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,"Drama, Slice of Life, Supernatural",Movie,8.19,95241
Dennou Coil,"Adventure, Comedy, Drama, Mystery, Sci-Fi",TV,8.19,76860
Eureka Seven,"Adventure, Drama, Mecha, Romance, Sci-Fi",TV,8.19,239570
Ghost in the Shell: Stand Alone Complex - The Laughing Man,"Action, Mecha, Mystery, Police, Psychological, Sci-Fi, Seinen",Special,8.19,21435
Gintama: Dai Hanseikai,"Action, Comedy, Parody, Samurai",Special,8.19,14728
Hidamari Sketch: Sae Hiro Sotsugyou-hen,"Comedy, School, Slice of Life",OVA,8.19,5959
Hikaru no Go,"Comedy, Game, Shounen, Supernatural",TV,8.19,69000
Kimi ni Todoke,"Romance, School, Shoujo, Slice of Life",TV,8.19,309339
Kokoro Connect: Michi Random,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",Special,8.19,106989
Tokyo Magnitude 8.0,"Drama",TV,8.19,121349
Cardcaptor Sakura,"Adventure, Comedy, Drama, Fantasy, Magic, Romance, School, Shoujo",TV,8.18,181249
ef: A Tale of Melodies.,"Drama, Mystery, Romance, Supernatural",TV,8.18,103657
Gin no Saji,"Comedy, School, Shounen, Slice of Life",TV,8.18,116261
Hachimitsu to Clover,"Comedy, Drama, Josei, Romance",TV,8.18,130646
Kodomo no Omocha (TV),"Comedy, Drama, Romance, Shoujo",TV,8.18,27893
Love Live! The School Idol Movie,"Music, School, Slice of Life",Movie,8.18,38118
Mahoutsukai no Yome: Hoshi Matsu Hito,"Fantasy, Magic",OVA,8.18,43372
Sekaiichi Hatsukoi OVA,"Comedy, Drama, Romance, Shounen Ai",OVA,8.18,35225
Working!!!,"Comedy, Romance, Slice of Life",TV,8.18,80763
Black Lagoon,"Action, Seinen",TV,8.17,332562
Detective Conan Movie 18: The Sniper from Another Dimension,"Action, Mystery, Police, Shounen",Movie,8.17,12151
